,overall accuracy,change accuracy,no change accuracy,precision,recall,dice,kappa,f1
v2_fcef_res,0.8770123106060606,0.6801886690611189,0.8707063360647722,0.25256266692568635,0.6322395317820888,0.32941345091570506,0.2838611186510234,0.36093965977014786
v2_fcef_res_nst,0.9519463741418087,0.36220358831412863,0.9739023880525068,0.5062762277591373,0.3223260407138503,0.3649242487896619,0.2997606621568345,0.3938826098120104
v2_fcef_res_nxt,0.9016802238695549,0.6022717854516073,0.9007517099380493,0.2635155864567919,0.5685179991591157,0.33593132022360805,0.28548823615225655,0.360113717882573
v2_fcfe,0.8940656257398201,0.6251647133718837,0.8932187412724351,0.23693919043536438,0.5819173315257737,0.32361512031638995,0.26965489760605676,0.33675990294809655
multi_in_fcef_res,0.8834228515625,0.6717350134259146,0.8781645677306436,0.258392153717013,0.6456352473575283,0.3364557799403415,0.292535702077051,0.3690752777671006
multi_in_fcef_resnst,0.9326740611683239,0.5109518065371297,0.9456533193588257,0.3467549094224744,0.4696505189957944,0.37546025656047277,0.334275622619316,0.3989528180627678
multi_in_fcef_resnst_add,0.8992993903882576,0.5635442110625181,0.9074690793499802,0.28034083152835426,0.520498463629999,0.33252308273927844,0.2935235902109663,0.3644101206957184
multi_in_fcef_resnst_fca,0.931226788145123,0.4980204008293874,0.9395062959555424,0.3532154303834294,0.46300602247091854,0.3926967927875618,0.32507204527836153,0.4007267168126457
multi_in_fcef_resnst_se,0.9437445438269413,0.5078080945055593,0.9557022741346648,0.40260944316502323,0.4576977625150572,0.3902547095785849,0.3512749894324577,0.4283898590815462
multi_in_fcef_resnst_stp,0.6001041296756628,0.643685966955893,0.5905732065439224,0.07729284969073799,0.6247744302858006,0.12966008206201488,0.05184509771469021,0.1375668614902851
multi_in_fcef_resnxt,0.9039958607066761,0.6339039623201119,0.9028538050073566,0.29440426676901,0.6017527986797645,0.34641308626724465,0.30764285645052564,0.3953739769552536
multi_in_fcef_resnxt_add,0.8974405924479166,0.6316998790046482,0.8959555571729486,0.29269210572326276,0.6016393997283145,0.3479020975981698,0.3088667789883347,0.39380274924709036
multi_in_fcef_resnxt_fca,0.8916024872750947,0.6785349670910474,0.8884218010035428,0.26243692948341824,0.6403229524466124,0.340019013394009,0.2978354277597232,0.37229033518543136
multi_in_fcef_resnxt_se,0.8849968187736742,0.6700088745829734,0.8804535016869054,0.25692411627846234,0.6324088504029945,0.3331414723599499,0.2883017106884808,0.3653998920623966
multi_in_fcef_resnxt_stp,0.8936430035215436,0.6164127189778921,0.8920284130356528,0.2544190661000991,0.5952888526248209,0.3293715387258227,0.287233239036251,0.35648210545543246
multi_in_fcef_res_add,0.9030451919093276,0.6228069834143036,0.9024002461722402,0.2760513248415946,0.5913215495794165,0.3436854189388793,0.3037618528345995,0.37638967503507714
multi_in_fcef_res_fca,0.890370224461411,0.6405224348559524,0.8858617833166411,0.26469945464509004,0.6097989662578611,0.34085574172786437,0.28644575743061124,0.369156650151364
multi_in_fcef_res_se,0.8738361705433239,0.6719210662625053,0.8671146270000574,0.23034577828013536,0.6397756210556536,0.31358770673360786,0.2650009836775787,0.3387334536748935
multi_in_fcef_res_stp,0.8578685413707386,0.6607208428057757,0.851206205107949,0.193374759799829,0.6342184123667803,0.2966196789526411,0.22905643404087503,0.2963819356580314
